tartar = {
    graphical_culture = muslimgfx
    astrakhani = {
        primary = AST
        dynasty_names = {
            "卡拉钦努阿"  # Qara Chinua
            "Timur"  # Timur
            "Timur Qutlugh"  # Timur Qutlugh
            "Toqtamish"  # Toqtamish
            "Ulugh Muhammad"  # Ulugh Muhammad
            "Urus"  # Urus
            "Urus Muhammad"  # Urus Muhammad
            "Yadigar Muhammad"  # Yadigar Muhammad
            "Yamghurchi"  # Yamghurchi
        }
        female_names = {
            "Fatima"  # Fatima
            "Ibtisam"  # Ibtisam
            "Jalila"  # Jalila
            "Janan"  # Janan
            "Layla"  # Layla
            "Sakina"  # Sakina
            "Sharifa"  # Sharifa
            "Ibtisam"  # Ibtisam
            "Jalila"  # Jalila
            "Janan"  # Janan
            "Layla"  # Layla
            "Sakina"  # Sakina
            "Sharifa"  # Sharifa
            "Acenith"  # Acenith
            "Alia"  # Alia
            "Amunet"  # Amunet
            "Andali"  # Andali
            "Asanet"  # Asanet
            "Asenath"  # Asenath
            "Asenet"  # Asenet
            "Azenet"  # Azenet
            "Badiat"  # Badiat
            "Cena"  # Cena
            "Fatima"  # Fatima
            "Halima"  # Halima
        }
    }
    crimean = {
        primary = CRI
        dynasty_names = {
            "Altan"  # Altan
            "Asanin"  # Asanin
            "Bekmambet"  # Bekmambet
            "Ziyaeddin"  # Ziyaeddin
            "Sarigöl"  # Sarigöl
            "Bektöre"  # Bektöre
            "Celebicihan"  # Celebicihan
            "Cobanzade"  # Cobanzade
            "Dägci"  # Dägci
            "Gaspirali"  # Gaspirali
            "Giraybay"  # Giraybay
            "Hablemitoglu"  # Hablemitoglu
            "Hilmi"  # Hilmi
            "Inalcik"  # Inalcik
            "Ipci"  # Ipci
            "Kirimal"  # Kirimal
            "Seydahmet"  # Seydahmet
            "Ihsan"  # Ihsan
            "Kubay"  # Kubay
            "Qirimoglu"  # Qirimoglu
            "Mamut"  # Mamut
            "Mansiz"  # Mansiz
            "Mehdi"  # Mehdi
            "Neyazi"  # Neyazi
            "Ortayli"  # Ortayli
            "Semizade"  # Semizade
            "Soysal"  # Soysal
            "Zihni"  # Zihni
            "Tarhan"  # Tarhan
            "Fazil"  # Fazil
            "Uralgiray"  # Uralgiray
            "Kosay"  # Kosay
            "Agah"  # Agah
            "Mangitli"  # Mangitli
            "Tögay"  # Tögay
            "Kemal"  # Kemal
        }
        male_names = {
            "Alp"  # Alp
            "Arslan"  # Arslan
            "Adil"  # Adil
            "Amin"  # Amin
            "Bahadir"  # Bahadir
            "Devlet"  # Devlet
            "Fetih"  # Fetih
            "Ghazi"  # Ghazi
            "Haji"  # Haji
            "Halim"  # Halim
            "Haspulad"  # Haspulad
            "Hayder"  # Hayder
            "Inayet"  # Inayet
            "Islam"  # Islam
            "Janay"  # Janay
            "Janibek"  # Janibek
            "Maqsud"  # Maqsud
            "Mehmed"  # Mehmed
            "Mengli"  # Mengli
            "Mubarek"  # Mubarek
            "Murad"  # Murad
            "Nur"  # Nur
            "Devlet"  # Devlet
            "Otemesh"  # Otemesh
            "Qaplan"  # Qaplan
            "Qirim"  # Qirim
            "Saadet"  # Saadet
            "Safa"  # Safa
            "Sahib"  # Sahib
            "Satilghan"  # Satilghan
            "Shahin"  # Shahin
            "Shardan"  # Shardan
            "Selamet"  # Selamet
            "Selim"  # Selim
            "Toqtamish"  # Toqtamish
        }
        female_names = {
            "Khalida"  # Khalida
            "Mariam"  # Mariam
            "Sabah"  # Sabah
            "Fatima"  # Fatima
            "Ibtisam"  # Ibtisam
            "Jalila"  # Jalila
            "Janan"  # Janan
            "Layla"  # Layla
            "Sakina"  # Sakina
            "Sharifa"  # Sharifa
            "Ibtisam"  # Ibtisam
            "Jalila"  # Jalila
            "Janan"  # Janan
            "Layla"  # Layla
            "Sakina"  # Sakina
            "Sharifa"  # Sharifa
            "Acenith"  # Acenith
            "Alia"  # Alia
            "Amunet"  # Amunet
            "Andali"  # Andali
            "Asanet"  # Asanet
            "Asenath"  # Asenath
            "Asenet"  # Asenet
            "Azenet"  # Azenet
            "Badiat"  # Badiat
            "Cena"  # Cena
            "Fatima"  # Fatima
            "Halima"  # Halima
        }
    }
    kazani = {
        primary = KAZ
        dynasty_names = {
            "Cälil"  # Cälil
            "Göbäydullina"  # Göbäydullina
            "Nasiri"  # Nasiri
            "Näcmetdin"  # Näcmetdin
            "Nigmät"  # Nigmät
            "Nurgäli"  # Nurgäli
            "Isxaqi"  # Isxaqi
            "Märcani"  # Märcani
            "Qamay"  # Qamay
            "Qol-Gäli"  # Qol-Gäli
            "Qursawi"  # Qursawi
            "Tuqay"  # Tuqay
            "Yusupow"  # Yusupow
        }
        male_names = {
            "Ulugh Muhammad"  # Ulugh Muhammad
            "Muhammad"  # Muhammad
            "Mahmudak"  # Mahmudak
            "Khalil"  # Khalil
            "Ibrahim"  # Ibrahim
            "Ilham"  # Ilham
            "Muhammad Amin"  # Muhammad Amin
            "Abdul-Latif"  # Abdul-Latif
            "Shah Ali"  # Shah Ali
            "Sahib"  # Sahib
            "Safa"  # Safa
            "Jan Ali"  # Jan Ali
            "Otemesh"  # Otemesh
            "Shah Ali"  # Shah Ali
            "Yadigar Muhammad"  # Yadigar Muhammad
            "Ahmyetgali"  # Ahmyetgali
            "Airat"  # Airat
            "Akhmed"  # Akhmed
            "Alikber"  # Alikber
            "Amazat"  # Amazat
            "Amerhan"  # Amerhan
            "Ansar"  # Ansar
            "Anvar"  # Anvar
            "Ahmat"  # Ahmat
            "Aydar"  # Aydar
            "Ayrat"  # Ayrat
            "Azgar"  # Azgar
            "Cingi"  # Cingi
            "Farit"  # Farit
            "Ildus"  # Ildus
            "Ilgiz"  # Ilgiz
            "Ilsat"  # Ilsat
            "Irek"  # Irek
            "Nariman"  # Nariman
            "Radiq"  # Radiq
            "Gabdulla"  # Gabdulla
            "Ramil"  # Ramil
            "Rasit"  # Rasit
            "Rawil"  # Rawil
            "Risat"  # Risat
            "Rusan"  # Rusan
            "Timer"  # Timer
            "Toktamish"  # Toktamish
            "Yasher"  # Yasher
            "Zagip"  # Zagip
            "Zamanbyek"  # Zamanbyek
            "Zaribzyan"  # Zaribzyan
            "Gabdulla"  # Gabdulla
            "Zofar"  # Zofar
        }
        female_names = {
            "Aibanoo"  # Aibanoo
            "Aininoor"  # Aininoor
            "Alfia"  # Alfia
            "Janan"  # Janan
            "Alfira"  # Alfira
            "Alfiya"  # Alfiya
            "Alia"  # Alia
            "Amenya"  # Amenya
            "Asia"  # Asia
            "Assel"  # Assel
            "Dinara"  # Dinara
        }
    }
    mishary = {
        primary = GOL
        dynasty_names = {
            "Boke Temur"  # Boke Temur
            "Qutlugh Vachir"  # Qutlugh Vachir
            "Suren Chinua"  # Suren Chinua
            "Delger Bayar"  # Delger Bayar
            "Shria Gan"  # Shria Gan
            "Bora Chinua"  # Bora Chinua
            "Nasange"  # Nasange
            "Temur-chi"  # Temur-chi
            "Chinuagene"  # Chinuagene
            "Toluilun"  # Toluilun
            "Qutughqan"  # Qutughqan
            "Koke Burilgi"  # Koke Burilgi
            "Surenchar"  # Surenchar
            "Bayangge"  # Bayangge
        }
        male_names = {
            "Abdul-Karim"  # Abdul-Karim
            "Abdul-Latif"  # Abdul-Latif
            "Abdul-Rahman"  # Abdul-Rahman
            "Abdullah"  # Abdullah
            "Agalak"  # Agalak
            "Ahmad"  # Ahmad
            "Ak Köbek"  # Ak Köbek
            "Ali Beg"  # Ali Beg
            "Arab Shah"  # Arab Shah
            "Arslan"  # Arslan
            "Baraq"  # Baraq
            "Bek Bulat"  # Bek Bulat
            "Bolaq"  # Bolaq
            "Cherkes"  # Cherkes
            "Chokra"  # Chokra
            "Daniyal"  # Daniyal
            "Darwish"  # Darwish
            "Darwish Ali"  # Darwish Ali
            "Devlet Berdi"  # Devlet Berdi
            "Edigu"  # Edigu
            "Hajji Muhammad"  # Hajji Muhammad
            "Husayn"  # Husayn
            "Ibak"  # Ibak
            "Ibrahim"  # Ibrahim
            "Ilham"  # Ilham
            "Ishim"  # Ishim
            "贾巴尔 別儿迪"  # Jabbar Berdi
            "贾拉丁"  # Jalal al-Din
            "Jan Ali"  # Jan Ali
            "Janay"  # Janay
            "Jani Beg"  # Jani Beg
            "Jumaduq"  # Jumaduq
            "Karim Berdi"  # Karim Berdi
            "Kebek"  # Kebek
            "Khalil"  # Khalil
            "Khaqan Beg"  # Khaqan Beg
            "Küchük Muhammad"  # Küchük Muhammad
            "Kuchum"  # Kuchum
            "Mahmud"  # Mahmud
            "Mahmudak"  # Mahmudak
            "Mamai"  # Mamai
            "Mamuk"  # Mamuk
            "Mansur"  # Mansur
            "Muhammad"  # Muhammad
            "Murtaza"  # Murtaza
            "穆斯塔法 阿里"  # Mustafa Ali
            "Nogai"  # Nogai
            "Pulad"  # Pulad
            "Pulad Timur"  # Pulad Timur
            "Qadir Berdi"  # Qadir Berdi
            "Qasim"  # Qasim
            "Sain Bulat"  # Sain Bulat
            "Satilghan"  # Satilghan
            "Sayid Ahmad"  # Sayid Ahmad
            "Sayid Burhan"  # Sayid Burhan
            "Sayid Mahmud"  # Sayid Mahmud
            "Shadi Beg"  # Shadi Beg
            "Shah Ali"  # Shah Ali
            "Shaikh Ahmad"  # Shaikh Ahmad
            "Shaikh Awliar"  # Shaikh Awliar
            "Shaikh Haidar"  # Shaikh Haidar
            "Shiban"  # Shiban
            "Taibugha"  # Taibugha
            "Timur"  # Timur
            "Timur Qutlugh"  # Timur Qutlugh
            "Toqtamish"  # Toqtamish
            "Ulugh Muhammad"  # Ulugh Muhammad
            "Urus"  # Urus
            "Urus Muhammad"  # Urus Muhammad
            "Yadigar Muhammad"  # Yadigar Muhammad
            "Yamghurchi"  # Yamghurchi
        }
        female_names = {
            "Fatima"  # Fatima
            "Ibtisam"  # Ibtisam
            "Jalila"  # Jalila
            "Janan"  # Janan
            "Layla"  # Layla
            "Sakina"  # Sakina
            "Sharifa"  # Sharifa
            "Ibtisam"  # Ibtisam
            "Jalila"  # Jalila
            "Janan"  # Janan
            "Layla"  # Layla
            "Sakina"  # Sakina
            "Sharifa"  # Sharifa
            "Acenith"  # Acenith
            "Alia"  # Alia
            "Amunet"  # Amunet
            "Andali"  # Andali
            "Asanet"  # Asanet
            "Asenath"  # Asenath
            "Asenet"  # Asenet
            "Azenet"  # Azenet
            "Badiat"  # Badiat
            "Cena"  # Cena
            "Fatima"  # Fatima
            "Halima"  # Halima
        }
    }
    nogaybak = {
        primary = NOG
        dynasty_names = {
            "Ulagan Temur"  # Ulagan Temur
            "Bora Chinua"  # Bora Chinua
            "Suren Unegen"  # Suren Unegen
            "Qara Erdene"  # Qara Erdene
            "Delger Cheren"  # Delger Cheren
            "Chaganchar"  # Chaganchar
            "Qorchigene"  # Qorchigene
            "Burilgidai"  # Burilgidai
            "Qadantai"  # Qadantai
            "Temurcher"  # Temurcher
            "Tegus-chi"  # Tegus-chi
            "Berkegene"  # Berkegene
            "Yekechar"  # Yekechar
            "Batu-tu"  # Batu-tu
        }
        male_names = {
            "Abbas"  # Abbas
            "Agish"  # Agish
            "Alchagir"  # Alchagir
            "Arslanay"  # Arslanay
            "Baki"  # Baki
            "Baltichak"  # Baltichak
            "Batir"  # Batir
            "Din Ahmad"  # Din Ahmad
            "Din Muhammad"  # Din Muhammad
            "Din Sufi"  # Din Sufi
            "Dinbay"  # Dinbay
            "Divey"  # Divey
            "Edigu"  # Edigu
            "Ghazi"  # Ghazi
            "Haji Ahmad"  # Haji Ahmad
            "Haji Muhammad"  # Haji Muhammad
            "Hasan"  # Hasan
            "Ishterek"  # Ishterek
            "Isiney"  # Isiney
            "Ismail"  # Ismail
            "Jan Qubad"  # Jan Qubad
            "Kanay"  # Kanay
            "Khorezmi"  # Khorezmi
            "Kuchuk"  # Kuchuk
            "Mansur"  # Mansur
            "Muhammad"  # Muhammad
            "Musa"  # Musa
            "Qasim"  # Qasim
            "Sayid Ahmad"  # Sayid Ahmad
            "Shay Tarak"  # Shay Tarak
            "Sheykh Mamay"  # Sheykh Mamay
            "Timur"  # Timur
            "Uraz Muhammad"  # Uraz Muhammad
            "Urus"  # Urus
            "Vakkas"  # Vakkas
            "Yamghurchi"  # Yamghurchi
            "Yash Tarak"  # Yash Tarak
            "Yusuf"  # Yusuf
        }
        female_names = {
            "Aaliyah"  # Aaliyah
            "Ikram"  # Ikram
            "Aamina"  # Aamina
            "Aamira"  # Aamira
            "Aaqila"  # Aaqila
            "Aarifa"  # Aarifa
            "Aazzi"  # Aazzi
            "Adelah"  # Adelah
            "Adela"  # Adela
            "Adiba"  # Adiba
            "Adilah"  # Adilah
            "Adilia"  # Adilia
            "Adiva"  # Adiva
            "Adjan"  # Adjan
            "Aeesha"  # Aeesha
            "Fatima"  # Fatima
            "Ibtisam"  # Ibtisam
            "Jalila"  # Jalila
            "Janan"  # Janan
            "Layla"  # Layla
            "Sakina"  # Sakina
            "Sharifa"  # Sharifa
            "Ibtisam"  # Ibtisam
            "Jalila"  # Jalila
            "Janan"  # Janan
            "Layla"  # Layla
            "Sakina"  # Sakina
            "Sharifa"  # Sharifa
            "Acenith"  # Acenith
            "Alia"  # Alia
            "Amunet"  # Amunet
            "Andali"  # Andali
            "Asanet"  # Asanet
            "Asenath"  # Asenath
            "Asenet"  # Asenet
            "Azenet"  # Azenet
            "Badiat"  # Badiat
            "Cena"  # Cena
            "Fatima"  # Fatima
            "Halima"  # Halima
        }
    }
    siberian = {
        primary = SIB
        dynasty_names = {
            "Balna"  # Balna
            "Salmiianov"  # Salmiianov
            "Ravna"  # Ravna
            "Taiborey"  # Taiborey
            "Vylka"  # Vylka
            "Kanin"  # Kanin
            "Maimbava"  # Maimbava
            "Arinin"  # Arinin
            "Aven"  # Aven
            "Tsoy"  # Tsoy
        }
        male_names = {
            "Abdul-Karim"  # Abdul-Karim
            "Abdul-Latif"  # Abdul-Latif
            "Abdul-Rahman"  # Abdul-Rahman
            "Abdullah"  # Abdullah
            "Agalak"  # Agalak
            "Ahmad"  # Ahmad
            "Ak Köbek"  # Ak Köbek
            "Ali Beg"  # Ali Beg
            "Arab Shah"  # Arab Shah
            "Arslan"  # Arslan
            "Baraq"  # Baraq
            "Bek Bulat"  # Bek Bulat
            "Bolaq"  # Bolaq
            "Cherkes"  # Cherkes
            "Chokra"  # Chokra
            "Daniyal"  # Daniyal
            "Darwish"  # Darwish
            "Darwish Ali"  # Darwish Ali
            "Devlet Berdi"  # Devlet Berdi
            "Edigu"  # Edigu
            "Hajji Muhammad"  # Hajji Muhammad
            "Husayn"  # Husayn
            "Ibak"  # Ibak
            "Ibrahim"  # Ibrahim
            "Ilham"  # Ilham
            "Ishim"  # Ishim
            "贾巴尔 別儿迪"  # Jabbar Berdi
            "Jalal al-Din"  # Jalal al-Din
            "Jan Ali"  # Jan Ali
            "Janay"  # Janay
            "Jani Beg"  # Jani Beg
            "Jumaduq"  # Jumaduq
            "Karim Berdi"  # Karim Berdi
            "Kebek"  # Kebek
            "Khalil"  # Khalil
            "Khaqan Beg"  # Khaqan Beg
            "Küchük Muhammad"  # Küchük Muhammad
            "Kuchum"  # Kuchum
            "Mahmud"  # Mahmud
            "Mahmudak"  # Mahmudak
            "Mamai"  # Mamai
            "Mamuk"  # Mamuk
            "Mansur"  # Mansur
            "Muhammad"  # Muhammad
            "Murtaza"  # Murtaza
            "穆斯塔法 阿里"  # Mustafa Ali
            "Nogai"  # Nogai
            "Pulad"  # Pulad
            "Pulad Timur"  # Pulad Timur
            "Qadir Berdi"  # Qadir Berdi
            "Qasim"  # Qasim
            "Sain Bulat"  # Sain Bulat
            "Satilghan"  # Satilghan
            "Sayid Ahmad"  # Sayid Ahmad
            "Sayid Burhan"  # Sayid Burhan
            "Sayid Mahmud"  # Sayid Mahmud
            "Shadi Beg"  # Shadi Beg
            "Shah Ali"  # Shah Ali
            "Shaikh Ahmad"  # Shaikh Ahmad
            "Shaikh Awliar"  # Shaikh Awliar
            "Shaikh Haidar"  # Shaikh Haidar
            "Shiban"  # Shiban
            "Taibugha"  # Taibugha
            "Timur Qutlugh"  # Timur Qutlugh
            "Toqtamish"  # Toqtamish
            "Ulugh Muhammad"  # Ulugh Muhammad
            "Urus"  # Urus
            "Urus Muhammad"  # Urus Muhammad
            "Yadigar Muhammad"  # Yadigar Muhammad
            "Yamghurchi"  # Yamghurchi
        }
        female_names = {
            "Fatima"  # Fatima
            "Ibtisam"  # Ibtisam
            "Jalila"  # Jalila
            "Janan"  # Janan
            "Layla"  # Layla
            "Sakina"  # Sakina
            "Sharifa"  # Sharifa
            "Ibtisam"  # Ibtisam
            "Jalila"  # Jalila
            "Janan"  # Janan
            "Layla"  # Layla
            "Sakina"  # Sakina
            "Sharifa"  # Sharifa
            "Acenith"  # Acenith
            "Alia"  # Alia
            "Amunet"  # Amunet
            "Andali"  # Andali
            "Asanet"  # Asanet
            "Asenath"  # Asenath
            "Asenet"  # Asenet
            "Azenet"  # Azenet
            "Badiat"  # Badiat
            "Cena"  # Cena
            "Fatima"  # Fatima
            "Halima"  # Halima
        }
    }
    dynasty_names = {
        "Chagatay"  # Chagatay
        "Edigüid"  # Edigüid
        "Giray"  # Giray
        "Borjigin"  # Borjigin
        "Shaybanid"  # Shaybanid
        "Janid"  # Janid
        "Mangit"  # Mangit
    }
}
