graphical_culture = asiangfx
color = {
    105
    176
    118
}
historical_idea_groups = {
    offensive_ideas
    defensive_ideas
    maritime_ideas
    trade_ideas
    quality_ideas
    spy_ideas
    diplomatic_ideas
    administrative_ideas
}
historical_units = {
    japanese_archer
    eastern_bow
    japanese_footsoldier
    japanese_samurai
    asian_arquebusier
    asian_charge_cavalry
    asian_mass_infantry
    asian_musketeer
    reformed_asian_musketeer
    reformed_asian_cavalry
}
monarch_names = {
    "Munemura #0" = 20
    "Masayori #0" = 50
    "Motomune #0" = 50
    "Muneto #0" = 50
    "Mochimune #0" = 50
    "Naomune #0" = -5
    "Harumune #0" = -5
    "Tadamune #0" = 50
    "Morimune #0" = 50
    "Munekiyo #0" = 50
    "Yoshimune #0" = 50
    "Sen #0" = -5
    "Aya #0" = -5
    "Masamune #0" = 50
    "Munetsuna #0" = 50
    "Ujimune #0" = 50
    "Tanemune #0" = -5
    "Tsunamune #0" = 50
}
leader_names = {
    "Akamatsu"  # Akamatsu
    "Date"  # Date
    "Katakura"  # Katakura
    "Katakura"  # Katakura
    "Katakura"  # Katakura
    "Katakura"  # Katakura
    "Katakura"  # Katakura
    "Nakano"  # Nakano
    "Nakano"  # Nakano
    "Nakano"  # Nakano
    "Nakano"  # Nakano
    "Nakano"  # Nakano
    "Oniniwa"  # Oniniwa
    "Oniniwa"  # Oniniwa
    "Oniniwa"  # Oniniwa
    "Oniniwa"  # Oniniwa
    "Oniniwa"  # Oniniwa
    "Endo"  # Endo
    "Endo"  # Endo
    "Endo"  # Endo
    "Endo"  # Endo
    "Endo"  # Endo
    "Yashiro"  # Yashiro
    "Yashiro"  # Yashiro
    "Yashiro"  # Yashiro
    "Yashiro"  # Yashiro
    "Yashiro"  # Yashiro
    "Shiraishi"  # Shiraishi
    "Shiraishi"  # Shiraishi
    "Shiraishi"  # Shiraishi
    "Shiraishi"  # Shiraishi
    "Shiraishi"  # Shiraishi
    "Hasekura"  # Hasekura
    "Hasekura"  # Hasekura
    "Hasekura"  # Hasekura
    "Hasekura"  # Hasekura
    "Hasekura"  # Hasekura
    "Harada"  # Harada
    "Harada"  # Harada
    "Harada"  # Harada
    "Harada"  # Harada
    "Harada"  # Harada
    "Goto"  # Goto
    "Goto"  # Goto
    "Goto"  # Goto
    "Goto"  # Goto
    "Goto"  # Goto
    "Makino"  # Makino
    "Makino"  # Makino
    "Makino"  # Makino
    "Makino"  # Makino
    "Makino"  # Makino
    "Matsumae"  # Matsumae
    "Tsugaru"  # Tsugaru
    "Namioka"  # Namioka
    "Shiba"  # Shiba
    "Nanbu"  # Nanbu
    "Kunohe"  # Kunohe
    "Kudo"  # Kudo
    "Asonuma"  # Asonuma
    "Waga"  # Waga
    "Kurosawa"  # Kurosawa
    "Kita"  # Kita
    "Hei"  # Hei
    "Kasai"  # Kasai
    "Nikaido"  # Nikaido
    "Osaki"  # Osaki
    "Sudo"  # Sudo
    "Rusu"  # Rusu
    "Katakura"  # Katakura
    "Ujiie"  # Ujiie
    "Rusu"  # Rusu
    "Kurokawa"  # Kurokawa
    "Watari"  # Watari
    "Moniwa"  # Moniwa
    "Kokubun"  # Kokubun
    "Shiraishi"  # Shiraishi
    "Endo"  # Endo
    "Akita"  # Akita
    "Asari"  # Asari
    "Onodera"  # Onodera
    "Tozawa"  # Tozawa
    "Yuri"  # Yuri
    "Nikaho"  # Nikaho
    "Mogami"  # Mogami
    "Tendo"  # Tendo
    "Sakenobe"  # Sakenobe
    "Sagae"  # Sagae
    "Daihoji"  # Daihoji
    "Tateoka"  # Tateoka
    "Date"  # Date
    "Tamura"  # Tamura
    "Ishikawa"  # Ishikawa
    "Ouchi"  # Ouchi
    "Hatakeyama"  # Hatakeyama
    "Ashina"  # Ashina
    "Inawashiro"  # Inawashiro
    "Soma"  # Soma
    "Sato"  # Sato
    "Iwaki"  # Iwaki
    "Shirakawa"  # Shirakawa
    "Kanagami"  # Kanagami
}
ship_names = {
    "Mutsu Maru"  # Mutsu Maru
    "Dewa Maru"  # Dewa Maru
    "Shimotsuke Maru"  # Shimotsuke Maru
    "Hitachi Maru"  # Hitachi Maru
    "Kazusa Maru"  # Kazusa Maru
    "Shimousa Maru"  # Shimousa Maru
    "Musashi Maru"  # Musashi Maru
    "Kozuke Maru"  # Kozuke Maru
    "Izu Maru"  # Izu Maru
    "Echigo Maru"  # Echigo Maru
    "Ettchu Maru"  # Ettchu Maru
    "Kaga Maru"  # Kaga Maru
    "Noto Maru"  # Noto Maru
    "Suruga Maru"  # Suruga Maru
    "Totomi Maru"  # Totomi Maru
    "Joshu Maru"  # Joshu Maru
    "Enshu Maru"  # Enshu Maru
    "Bushu Maru"  # Bushu Maru
    "Esshu Maru"  # Esshu Maru
    "Mikawa Maru"  # Mikawa Maru
    "Ushu Maru"  # Ushu Maru
    "Soushu Maru"  # Soushu Maru
    "Boushu Maru"  # Boushu Maru
    "Kai Maru"  # Kai Maru
    "Shinshu Maru"  # Shinshu Maru
    "Koshu Maru"  # Koshu Maru
    "Owari Maru"  # Owari Maru
    "Bishu Maru"  # Bishu Maru
    "Mino Maru"  # Mino Maru
    "Echizen Maru"  # Echizen Maru
    "Ise Maru"  # Ise Maru
    "Shima Maru"  # Shima Maru
    "Omi Maru"  # Omi Maru
    "Goushu Maru"  # Goushu Maru
    "Yamashiro Maru"  # Yamashiro Maru
    "Wakasa Maru"  # Wakasa Maru
    "Tanba Maru"  # Tanba Maru
    "Tango Maru"  # Tango Maru
    "Yamato Maru"  # Yamato Maru
    "Kii Maru"  # Kii Maru
    "Kishu Maru"  # Kishu Maru
    "Iga Maru"  # Iga Maru
    "Awa Maru"  # Awa Maru
    "Sanuki Maru"  # Sanuki Maru
    "Tosa Maru"  # Tosa Maru
    "Iyo Maru"  # Iyo Maru
    "Harima Maru"  # Harima Maru
    "Banshu Maru"  # Banshu Maru
    "Hoki Maru"  # Hoki Maru
    "Inaba Maru"  # Inaba Maru
    "Bizen Maru"  # Bizen Maru
    "Mimasaka Maru"  # Mimasaka Maru
    "Binshu Maru"  # Binshu Maru
    "Bingo Maru"  # Bingo Maru
    "Bittchu Maru"  # Bittchu Maru
    "Aki Maru"  # Aki Maru
    "Izumo Maru"  # Izumo Maru
    "Iwami Maru"  # Iwami Maru
    "Suou Maru"  # Suou Maru
    "Nagato Maru"  # Nagato Maru
    "Bungo Maru"  # Bungo Maru
    "Buzen Maru"  # Buzen Maru
    "Chikuzen Maru"  # Chikuzen Maru
    "Chikugo Maru"  # Chikugo Maru
    "Hizen Maru"  # Hizen Maru
    "Higo Maru"  # Higo Maru
    "Chikushu Maru"  # Chikushu Maru
    "Hyuga Maru"  # Hyuga Maru
    "Osumi Maru"  # Osumi Maru
    "Satsuma Maru"  # Satsuma Maru
    "Sasshu Maru"  # Sasshu Maru
}
army_names = {
    "Date Gun"  # Date Gun
    "$PROVINCE$ Gun"  # $PROVINCE$ Gun
    "$PROVINCE$ Zei"  # $PROVINCE$ Zei
    "$PROVINCE$ Dan"  # $PROVINCE$ Dan
}
fleet_names = {
    "Date Suigun"  # Date Suigun
    "$PROVINCE$ Suigun"  # $PROVINCE$ Suigun
    "$PROVINCE$ Sendan"  # $PROVINCE$ Sendan
    "$PROVINCE$ Tai"  # $PROVINCE$ Tai
}
